county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily,log_total_permits,log_single_family,log_multifamily,county_id,time_id,time_trend
Ca Sandiego,California,2021,6,2021-06-01,1,1,1,872,288,1168,6.771935555839602,5.666426688112432,7.063903961472068,California_Ca Sandiego,2021-06,3.4140999315537304
Ca Sandiego,California,2021,7,2021-07-01,1,1,1,684,235,898,6.529418838262226,5.4638318050256105,6.80128303447162,California_Ca Sandiego,2021-07,3.4962354551676933
Ca Sandiego,California,2021,8,2021-08-01,1,1,1,1202,332,1740,7.0925737159746784,5.808142489980444,7.462214939768189,California_Ca Sandiego,2021-08,3.5811088295687883
Ca Sandiego,California,2021,9,2021-09-01,1,1,1,662,286,752,6.4967749901858625,5.659482215759621,6.6240652277998935,California_Ca Sandiego,2021-09,3.6659822039698837
Ca Sandiego,California,2021,10,2021-10-01,1,1,1,875,295,1160,6.775366090936392,5.69035945432406,7.057036981697891,California_Ca Sandiego,2021-10,3.7481177275838466
Ca Sandiego,California,2021,11,2021-11-01,1,1,1,514,260,508,6.244166900663736,5.564520407322694,6.2324480165505225,California_Ca Sandiego,2021-11,3.8329911019849416
Ca Sandiego,California,2021,12,2021-12-01,1,1,1,1034,255,1558,6.942156705699469,5.545177444479562,7.351799869057777,California_Ca Sandiego,2021-12,3.915126625598905
Ca Sandiego,California,2022,1,2022-01-01,1,1,1,766,329,874,6.642486801367256,5.799092654460526,6.774223886357614,California_Ca Sandiego,2022-01,4
Ca Sandiego,California,2022,2,2022-02-01,1,1,1,593,299,588,6.386879319362645,5.703782474656201,6.3784261836515865,California_Ca Sandiego,2022-02,4.084873374401095
Ca Sandiego,California,2022,3,2022-03-01,1,1,1,1148,354,1588,7.046647277848756,5.872117789475416,7.370860166536716,California_Ca Sandiego,2022-03,4.161533196440794
Ca Sandiego,California,2022,4,2022-04-01,1,1,1,1019,388,1262,6.927557906278317,5.963579343618446,7.141245122350491,California_Ca Sandiego,2022-04,4.246406570841889
Ca Sandiego,California,2022,5,2022-05-01,1,1,1,701,465,472,6.553933404025811,6.1441856341256456,6.159095388491933,California_Ca Sandiego,2022-05,4.328542094455853
Ca Sandiego,California,2022,6,2022-06-01,1,1,1,1564,370,2388,7.3556411029742534,5.916202062607435,7.77863014732581,California_Ca Sandiego,2022-06,4.413415468856948
Ca Sandiego,California,2022,7,2022-07-01,1,1,1,396,251,290,5.983936280687191,5.529429087511423,5.673323267171493,California_Ca Sandiego,2022-07,4.4955509924709105
Ca Sandiego,California,2022,8,2022-08-01,1,1,1,1080,227,1706,6.985641817639208,5.429345628954441,7.442492722794441,California_Ca Sandiego,2022-08,4.5804243668720055
Ca Sandiego,California,2022,9,2022-09-01,1,1,1,653,229,848,6.483107351457199,5.438079308923196,6.744059186311348,California_Ca Sandiego,2022-09,4.6652977412731005
Ca Sandiego,California,2022,10,2022-10-01,1,1,1,421,189,464,6.045005314036012,5.247024072160486,6.142037405587356,California_Ca Sandiego,2022-10,4.747433264887063
Ca Sandiego,California,2022,11,2022-11-01,1,1,1,401,230,342,5.996452088619021,5.442417710521793,5.8377304471659395,California_Ca Sandiego,2022-11,4.832306639288158
Ca Sandiego,California,2022,12,2022-12-01,1,1,1,701,189,1024,6.553933404025811,5.247024072160486,6.932447891572509,California_Ca Sandiego,2022-12,4.914442162902122
Tx Bexar,Texas,2018,1,2018-01-01,0,0,0,937,343,1188,6.843749949006225,5.840641657373398,7.080867896690782,Texas_Tx Bexar,2018-01,0
Tx Bexar,Texas,2018,2,2018-02-01,0,0,0,341,317,48,5.834810737062605,5.762051382780177,3.8918202981106265,Texas_Tx Bexar,2018-02,0.08487337440109514
Tx Bexar,Texas,2018,3,2018-03-01,0,0,0,460,428,64,6.133398042996649,6.061456918928017,4.174387269895637,Texas_Tx Bexar,2018-03,0.16153319644079397
Tx Bexar,Texas,2018,4,2018-04-01,0,0,0,341,330,22,5.834810737062605,5.802118375377063,3.1354942159291497,Texas_Tx Bexar,2018-04,0.2464065708418891
